ID,Tools,Description,Main Use Case,Latest Model/s,Link,Category,Pricing
1,ChatGPT,General-purpose AI assistant by OpenAI,"General Q&A, content writing, coding help, tutoring, brainstorming, roleplay, summarization, translation.",GPT-5.5 Instant,https://chatgpt.com/,General Chat,Free/$20 Plus
2,Claude,"Safe, thoughtful AI assistant by Anthropic","Long-context document analysis (e.g., 100K+ tokens), business writing, nuanced reasoning, code review, legal/medical text processing.",Opus 4.6,https://claude.ai/,General Chat,Free/$17 Pro/$100 Max
3,Gemini,Google's multimodal AI,"Google ecosystem integration (Docs, Gmail, Drive), multimodal tasks (image + text), research, YouTube video Q&A.",Gemini 3.5 Flash / Pro,https://gemini.google.com/,General Chat,Free/$7.99 Plus/$19.99 Pro/$99.99 Ultra
4,Deepseek,Long-context AI assistant,"Code generation (especially math/programming logic), technical problem-solving, cost-efficient API calls for developers.",V4 Pro (1.6T params),https://chat.deepseek.com/,General Chat,Free (Chat)/Pay Per Use(API)
5,Qwen,All-in-one AI from Alibaba,"Chinese/English bilingual tasks, enterprise chatbots, cloud-based deployment (Alibaba Cloud), large-scale data analysis.","Qwen3.5-27B-FP8, Qwen3.6-35B-A3B",https://qwen.ai/,General Chat,Free (Chat)/Pay Per Use (API)
6,Grok,"Real-time, edgy AI chatbot from X","Real-time X (Twitter) data analysis, conversational AI with ""witty/edgy"" personality, trending topic summarization.",Grok 4.3,https://grok.com/,General Chat,Free/$10 SuperGrok Lite/$30 SuperGrok
7,Microsoft Copilot,AI coding partner by Microsoft,"Boosting productivity in Microsoft 365 apps (Word, Excel, Outlook, Teams, PowerPoint)",No single model,https://copilot.microsoft.com/,General Chat,Free/$18 Business
8,Github Copilot,"AI-powered coding assistant integrated with GitHub and popular IDEs, offering code suggestions, chat assistance, documentation support, and productivity tools for developers.","Real-time code suggestions inside VS Code/IDE, boilerplate generation, refactoring, documenting code.","GPT-5.5, Claude Opus 4.7, Gemini 3.5 Flash",https://github.com/copilot,Coding,Free/$10 Pro/$39 Pro+
9,Blackbox,Specialized Coding AI,"Code autocompletion, bug detection, code explanation, generating unit tests, supporting 50+ languages in IDEs.",Latest model unspecified,https://app.blackbox.ai/,Coding,Free/$10 Pro/$20 Pro+/$40 Pro Max
10,Replit,"AI-powered platform for creating, publishing, and collaborating on apps directly from a browser with integrated development tools.","In-browser coding, collaborative coding, deploying small apps, teaching programming, debugging in Repl environment.","GPT-5.2, Claude Opus 4.5, Gemini 3 Flash/Pro",https://replit.com/,Coding,Free/$18 Core/$90 Pro
11,Groq,Ultra-fast AI inference engine,"Ultra-low-latency LLM inference (not an app per se), used for high-speed chatbots or real-time voice agents.",N/A (Inference Platform),https://console.groq.com/,Coding,Pay Per Use
12,n8n,Open-source automation builder,"Self-hosted workflow automation (connecting APIs: CRMs, email, DBs, LLMs), building AI agents with memory.",N/A (Workflow Platform),https://n8n.io/,Automation & Workflow,$20 Starter/$50 Pro/$800 Business
13,Zapier,No-code app connector,"No-code integrations between 6000+ apps (e.g., Gmail → Sheets → Slack), form processing, lead routing.",N/A (Workflow Platform),https://zapier.com/s/home,Automation & Workflow,Free/$19.99 Professional/$69 Team/Negotiable for Enterprise Edition
14,PowerAutomate,Microsoft automation tool,"Microsoft ecosystem automation (SharePoint, Outlook, Teams), RPA for legacy systems, approval workflows.
",N/A (Workflow Platform),make.powerautomate.com,Automation & Workflow,Free/$15 Premium/$150 Process/$215 Hosted Process
15,Perplexity,AI-powered search engine,"Cited web search with conversational follow-ups, academic research, fact-checking, deep dives with footnotes.","GPT-5.5 Instant, Claude Opus 4.6",https://www.perplexity.ai/,Search Engine,Free/$17 pro/$34 Enterprise Pro/$271 Enterprise Max
16,Notion,"AI-powered connected workspace for notes, documents, wikis, and workflows with customizable tools for personal, team, and project management.","Summarizing wiki pages, drafting docs, action item extraction from meeting notes, auto-filling databases.",Not disclosed,https://www.notion.com/,Productivity & Platform,Free/$10 Plus/$20 Business/Negotiable for Enterprise Edition
17,Quillbot,"AI  writing assistant that makes writing, editing, and communicating effortless, designed to help you write better and faster.","Paraphrasing sentences/paragraphs, reducing plagiarism, changing writing tone (formal/casual), summarizing.",Not disclosed,https://quillbot.com/,Productivity & Platform,Free/$8.33 - $19.95 Premium
18,Grammarly,"An American English-language writing assistant software tool reviews spelling, grammar, and tone, and identifies potential plagiarism.","Grammar/spelling correction, style and tone suggestions, readability scoring, plagiarism checking.",Not disclosed,https://www.grammarly.com/,Productivity & Platform,Free/$12 Pro/Negotiable for Enterprise Edition
19,Parakeet AI,Real-time AI job interview assistant that listens and provides answer suggestions during live interviews,"Assists job seekers with technical interviews, behavioral questions, fluent responses, and interview confidence.","GPT-4.1, Claude Sonnet 4",https://www.parakeet-ai.com/,Productivity & Platform,$19.50 Basic/ $39.00 Plus/$58.50 Pro
20,Remini,AI Photo Enhancer,"Enhancing low-resolution/old photos, restoring face details, improving blurry or compressed images.",Not disclosed,https://remini.ai/,Media Generation,Free/$5-$20 Lite/$5-$40 Pro
21,DALL-E,A generative AI model developed by  OpenAI that creates images from textual descriptions,"Generating original images from text prompts, concept art, product mockups, illustration for blogs/presentations.",DALL-E 3 (presumed),https://openai.com/index/dall-e-3/,Media Generation,Pay per use
22,Suno.ai,"The AI music generator instantly converts ideas into complete songs, enabling users to create music, beats, and lyrics without prior experience.","Generating full songs (vocals + instruments) from text prompts or lyrics, creating background music, jingles.
",Not disclosed,https://suno.com/,Media Generation,Free/$8 Pro/$24 Premier (Monthly)